Sat Apr 20 20:39:00 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:01 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:03 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:04 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:06 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:07 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:09 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:10 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:12 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:13 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:15 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:16 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:18 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:19 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:20 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:22 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:23 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:25 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:26 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:28 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:29 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:30 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:30 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:32 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:32 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:33 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:33 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:35 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:35 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:36 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:36 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:37 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:37 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:39 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:39 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:40 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:40 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:42 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:42 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:43 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:43 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:45 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:45 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:46 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:46 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:48 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:48 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:49 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:49 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:50 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:50 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:52 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:52 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:53 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:53 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:54 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:54 2019 : writeSerialRead >>> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
Sat Apr 20 20:39:55 2019 : writeAudio >> enter
